codigo,nombre,longitud,latitud,altitud,tecnologia,MAM_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,MAM_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,MAM_24_cadencia_media,SON_24_cadencia_media,MAM_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120500135,UNIVERSIDAD DE LA SABANA [2120500135],-74.033,4.854,2548,Automática con Telemetría,0.0,0.462,0.87,0.967,,,,,,,,6.695,0.0,2.4,8.6,48.0,2024-11-06,48.0,3.55,0.0,1.3,5.05,29.4,2025-04-06,29.4,1.707,0.0,0.0,0.85,29.8,2025-10-24,29.8,,12.4,11.4,10.4,1.257,2024-11-06,48.0,1,15.9,19.65,0.81
2120000174,COLEGIO MAGDALENA ORTEGA DE NARIÑO (IED) [2120000174],-74.083,4.687,2585,Automática con Telemetría,0.935,0.835,0.946,0.945,0.449,0.0,0.0,0.2,11.0,2024-03-20,11.0,6.009,0.0,0.1,10.3,37.4,2024-11-06,37.4,4.31,0.0,1.3,6.75,30.8,2025-04-27,30.8,3.278,0.0,0.25,2.375,40.5,2025-10-23,40.5,5.4,1.2,1.5,1.1,1.16,2025-01-03,47.0,7,15.34,15.07,1.02
2120000136,COL. LOS PINOS SEDE A [2120000136],-74.068,4.588,2779,Automática con Telemetría,0.0,0.0,0.946,0.945,,,,,,,,,,,,,,,2.514,0.0,0.7,3.0,23.3,2025-04-25,23.3,3.13,0.0,0.3,2.25,36.1,2025-11-15,36.1,,,1.7,1.2,1.199,2025-11-15,36.1,7,10.44,15.42,0.68
2120000132,COLEGIO EL TESORO DE LA CUMBRE [2120000132],-74.149,4.535,2816,Automática con Telemetría,0.935,0.857,0.924,0.945,0.248,0.0,0.0,0.075,6.6,2024-03-20,6.6,3.231,0.0,0.0,3.0,30.6,2024-11-15,30.6,1.788,0.0,0.5,2.2,23.0,2025-04-27,23.0,1.656,0.0,0.1,1.5,28.3,2025-10-13,28.3,5.5,1.3,1.6,1.2,1.062,2024-11-15,30.6,6,6.0,8.77,0.68
2120000121,COLEGIO GUSTAVO RESTREPO [2120000121],-74.106,4.576,2578,Automática con Telemetría,0.935,0.857,0.946,0.934,0.497,0.0,0.0,0.1,11.8,2024-03-20,11.8,3.926,0.0,0.2,5.75,28.4,2024-10-04,28.4,3.513,0.15,0.8,4.25,26.8,2025-03-29,26.8,2.494,0.0,0.3,2.0,28.7,2025-10-13,28.7,5.4,1.3,1.5,1.2,1.387,2025-01-03,39.8,6,10.21,8.58,1.19
2120000131,COLEGIO ANTONIO GARCIA [2120000131],-74.139,4.545,2602,Automática con Telemetría,0.935,0.857,0.946,0.945,0.274,0.0,0.0,0.075,10.0,2024-03-20,10.0,3.106,0.0,0.0,2.3,28.4,2024-10-09,28.4,1.607,0.0,0.3,2.15,19.4,2025-04-27,19.4,1.471,0.0,0.1,1.0,22.3,2025-11-15,22.3,5.8,1.4,1.6,1.3,1.817,2025-01-03,51.6,6,6.22,8.76,0.71
2120000125,COLEGIO SORRENTO (SEDE B SAN RAFAEL) (IED)  [2120000125],-74.113,4.62,2561,Automática con Telemetría,0.848,0.857,0.924,0.89,0.083,0.0,0.0,0.0,4.0,2024-03-20,4.0,3.021,0.0,0.05,2.7,28.6,2024-11-12,28.6,2.429,0.0,0.6,2.7,30.1,2025-05-20,30.1,1.805,0.0,0.0,1.3,26.3,2025-10-13,26.3,18.3,1.9,2.4,2.1,1.03,2025-01-03,31.0,7,6.0,15.74,0.38
2120000124,COLEGIO RAFAEL URIBE [2120000124],-74.132,4.583,2564,Automática con Telemetría,0.935,0.846,0.946,0.956,0.303,0.0,0.0,0.1,11.9,2024-03-20,11.9,3.853,0.0,0.0,4.9,35.6,2024-11-10,35.6,2.974,0.0,0.9,3.4,20.4,2025-04-27,20.4,2.155,0.0,0.2,2.1,37.8,2025-10-13,37.8,5.5,1.2,1.5,1.2,1.349,2025-01-03,51.0,6,8.57,8.65,0.99
2120000130,COLEGIO PAULO FREIRE [2120000130],-74.117,4.533,2605,Automática con Telemetría,0.924,0.857,0.946,0.945,0.253,0.0,0.0,0.0,9.1,2024-03-20,9.1,2.864,0.0,0.0,2.225,25.8,2024-10-05,25.8,2.86,0.0,0.6,2.55,27.4,2025-04-27,27.4,2.144,0.0,0.3,1.65,34.7,2025-11-15,34.7,6.6,1.8,1.5,1.2,1.003,2025-01-03,34.8,6,8.97,8.63,1.04
2120000126,COLEGIO CIUDAD DE VILLAVICENCIO [2120000126],-74.102,4.487,2923,Automática con Telemetría,0.935,0.846,0.946,0.945,0.278,0.0,0.0,0.1,9.1,2024-03-20,9.1,4.383,0.0,0.2,5.4,40.0,2024-11-10,40.0,3.098,0.1,1.2,3.5,32.6,2025-04-27,32.6,2.006,0.0,1.1,2.25,15.0,2025-11-30,15.0,6.3,1.2,1.5,1.2,1.081,2024-11-10,40.0,6,10.04,8.58,1.17
