codigo,nombre,categoria,tecnologia,estado,municipio,latitud,longitud,area_hidrografica,zona_hidrografica,subzona_hidrografica,fecha_instalacion,fecha_suspension
0021205570,PRIMAVERA LA  [21205570],Climatológica Principal,Convencional,Activa,Subachoque,4.85,-74.21666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/06/1965,
0021205012,UNIVERSIDAD NACIONAL [21205012],Climatológica Principal,Automática con Telemetría,Activa,"Bogotá, D.C",4.63723,-74.08892,Magdalena Cauca,Alto Magdalena,Río Bogotá,19/08/2004,
0021206690,COLEGIO MIGUEL A. CARO [21206690],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.813166667,-74.03111111,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/2001,
0021206980,SANTA CRUZ DE SIECHA [21206980],Agrometeorológica,"Automática con Telemetría, Convencional",En Mantenimiento,Guasca,4.785022,-73.870106,Magdalena Cauca,Alto Magdalena,Río Bogotá,08/11/2005,
0035025060,LA BOLSA [35025060],Climatológica Principal,"Automática con Telemetría, Convencional",En Mantenimiento,Choachí,4.587059,-73.995885,Orinoco,Meta,Río Guayuriba,15/05/1987,
0021205210,APTO TECHO  [21205210],Sinóptica Principal,Convencional,Suspendida,"Bogotá, D.C",4.633333333,-74.15,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1942,15/12/1959
0021201310,PREVENTORIO INFANT [21201310],Pluviométrica,Convencional,Activa,Sibaté,4.465444444,-74.2675,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1985,
0021205870,EL SALITRE [21205870],Meteorológica Especial,Convencional,Activa,Bojacá,4.738888889,-74.33427778,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1976,
0021205920,SUASUQUE [21205920],Meteorológica Especial,Convencional,Activa,Sopó,4.820833333,-73.96388889,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/09/1976,
0021205990,EL LLANO [21205990],Meteorológica Especial,Convencional,Activa,Sopó,4.927777778,-73.95,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1977,
