timestamp,estado,detalle,archivo,frac_nan_C08,frac_nan_C09,frac_nan_C10,frac_nan_C13,frac_nan_C14
2024-09-28 23:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240928-235000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-000000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-001000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-002000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-003000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-004000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 00:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-005000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-010000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-011000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-012000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:30:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-013000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:40:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-014000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 01:50:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-015000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 02:00:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-020000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 02:10:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-021000.nc,0.0,0.0,0.0,0.0,0.0
2024-09-29 02:20:00,escrito,,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_l1b\CMIPC_20240929-022000.nc,0.0,0.0,0.0,0.0,0.0
