inicio,fin,n_ts,motivo,satelite
2025-05-01 14:00:00,2025-05-01 14:00:00,1,excluido_qc,G19
2025-05-02 17:00:00,2025-05-02 17:00:00,1,excluido_qc,G19
2025-05-05 22:50:00,2025-05-05 22:50:00,1,excluido_qc,G19
2025-05-17 22:50:00,2025-05-17 22:50:00,1,excluido_qc,G19
2025-06-01 10:40:00,2025-06-01 10:40:00,1,excluido_qc,G19
2025-06-01 11:00:00,2025-06-01 11:00:00,1,excluido_qc,G19
2025-06-02 08:20:00,2025-06-02 08:20:00,1,excluido_qc,G19
2025-06-11 03:00:00,2025-06-11 03:00:00,1,sin_archivo,G19
2025-06-13 23:00:00,2025-06-13 23:00:00,1,excluido_qc,G19
2025-06-25 14:30:00,2025-06-25 14:30:00,1,excluido_qc,G19
2025-06-27 12:00:00,2025-06-27 12:00:00,1,excluido_qc,G19
2025-06-29 16:00:00,2025-06-29 16:00:00,1,excluido_qc,G19
2025-06-29 16:50:00,2025-06-29 16:50:00,1,excluido_qc,G19
2025-07-03 18:50:00,2025-07-03 18:50:00,1,excluido_qc,G19
2025-07-05 00:10:00,2025-07-05 00:10:00,1,excluido_qc,G19
2025-07-06 10:40:00,2025-07-06 10:40:00,1,excluido_qc,G19
2025-07-06 14:00:00,2025-07-06 14:00:00,1,excluido_qc,G19
2025-07-07 14:30:00,2025-07-07 14:30:00,1,excluido_qc,G19
2025-07-07 20:50:00,2025-07-07 20:50:00,1,sin_archivo,G19
2025-07-07 23:00:00,2025-07-07 23:00:00,1,excluido_qc,G19
2025-07-08 15:00:00,2025-07-08 15:00:00,1,excluido_qc,G19
2025-07-20 21:50:00,2025-07-20 21:50:00,1,excluido_qc,G19
2025-07-21 10:30:00,2025-07-21 10:30:00,1,excluido_qc,G19
2025-07-21 23:00:00,2025-07-21 23:00:00,1,excluido_qc,G19
2025-07-27 18:00:00,2025-07-27 18:00:00,1,excluido_qc,G19
2025-07-28 12:00:00,2025-07-28 12:00:00,1,sin_archivo,G19
2025-08-04 23:00:00,2025-08-04 23:00:00,1,excluido_qc,G19
2025-08-17 18:00:00,2025-08-17 18:00:00,1,excluido_qc,G19
2025-08-20 18:50:00,2025-08-20 18:50:00,1,excluido_qc,G19
2025-09-01 23:00:00,2025-09-01 23:00:00,1,excluido_qc,G19
2025-09-12 06:50:00,2025-09-12 06:50:00,1,excluido_qc,G19
2025-09-15 23:50:00,2025-09-16 00:30:00,5,excluido_qc,G19
2025-09-18 15:20:00,2025-09-18 15:20:00,1,excluido_qc,G19
2025-09-22 16:30:00,2025-09-22 18:10:00,11,sin_archivo,G19
2025-09-23 12:10:00,2025-09-23 12:10:00,1,excluido_qc,G19
2025-09-30 10:50:00,2025-09-30 10:50:00,1,excluido_qc,G19
2025-10-01 12:30:00,2025-10-01 12:30:00,1,excluido_qc,G19
2025-10-02 16:30:00,2025-10-02 16:30:00,1,excluido_qc,G19
2025-10-04 09:20:00,2025-10-04 09:20:00,1,excluido_qc,G19
2025-10-05 07:20:00,2025-10-05 07:20:00,1,excluido_qc,G19
2025-10-13 10:40:00,2025-10-13 10:40:00,1,excluido_qc,G19
2025-10-23 16:20:00,2025-10-23 16:20:00,1,sin_archivo,G19
2025-10-23 22:40:00,2025-10-23 22:40:00,1,excluido_qc,G19
2025-10-25 18:10:00,2025-10-25 18:10:00,1,excluido_qc,G19
2025-10-26 11:30:00,2025-10-26 11:30:00,1,excluido_qc,G19
2025-10-28 09:20:00,2025-10-28 09:20:00,1,excluido_qc,G19
2025-11-19 18:20:00,2025-11-19 18:20:00,1,excluido_qc,G19
2025-11-24 10:40:00,2025-11-24 10:40:00,1,excluido_qc,G19
2025-12-18 21:00:00,2025-12-18 21:10:00,2,excluido_qc,G19
2025-12-18 23:40:00,2025-12-19 00:20:00,5,excluido_qc,G19
