timestamp,satelite,filepath,motivo
2024-06-10 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240610-110000.nc,incompleto
2024-06-11 02:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240611-022000.nc,incompleto
2024-06-11 02:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240611-023000.nc,incompleto
2024-06-25 19:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240625-190000.nc,incompleto
2024-06-25 19:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240625-191000.nc,incompleto
2024-06-26 17:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240626-175000.nc,parcial
2024-07-02 16:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-165000.nc,incompleto
2024-07-02 17:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-170000.nc,incompleto
2024-07-02 17:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-171000.nc,incompleto
2024-07-02 17:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-173000.nc,incompleto
2024-07-02 17:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-174000.nc,incompleto
2024-07-02 17:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-175000.nc,incompleto
2024-07-02 18:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-180000.nc,incompleto
2024-07-02 18:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240702-181000.nc,incompleto
2024-07-08 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240708-110000.nc,parcial
2024-07-08 13:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240708-130000.nc,incompleto
2024-07-08 13:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240708-131000.nc,incompleto
2024-07-08 13:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240708-132000.nc,incompleto
2024-07-08 13:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240708-133000.nc,incompleto
2024-07-09 17:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240709-174000.nc,incompleto
2024-08-01 15:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240801-152000.nc,parcial
2024-08-09 18:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240809-182000.nc,parcial
2024-08-19 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240819-110000.nc,incompleto
2024-09-02 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240902-110000.nc,incompleto
2024-09-08 21:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-211000.nc,parcial
2024-09-08 21:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-212000.nc,incompleto
2024-09-08 21:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-215000.nc,incompleto
2024-09-08 22:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-220000.nc,incompleto
2024-09-08 22:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-221000.nc,incompleto
2024-09-08 22:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-222000.nc,incompleto
2024-09-08 22:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-224000.nc,incompleto
2024-09-08 23:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-230000.nc,incompleto
2024-09-08 23:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-231000.nc,incompleto
2024-09-08 23:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240908-232000.nc,incompleto
2024-09-09 00:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-000000.nc,incompleto
